date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-10-11,0.1.1,2025-10-11T09:57:18.55+00:00,2,5,1,0,2,4.452094340650362,9
2025-10-12,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,4,4.451992513187,14
2025-10-13,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,4,4.452025064123061,15
2025-10-14,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,4,4.451773300501993,15
2025-10-15,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,4,4.45156575064928,15
2025-10-16,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.45193431748362,16
2025-10-17,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.451965080335609,16
2025-10-18,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.451933851743693,19
2025-10-19,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.4519173320297645,20
2025-10-20,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.451861857377517,20
2025-10-21,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,1,4.451753850329059,20
2025-10-22,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,1,4.451679632129026,22
2025-10-23,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,5,4.451660576642781,24
2025-10-24,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,5,4.451802207780767,25
2025-10-25,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.451867456006069,26
2025-10-26,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.451797031580088,27
2025-10-27,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.451741320478796,28
2025-10-28,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.451830593140606,28
2025-10-29,0.1.1,2025-10-11T09:57:18.55+00:00,1,5,1,0,2,4.451957560256046,29
2025-10-30,0.1.1,2025-10-11T09:57:18.55+00:00,2,5,1,0,2,4.452030056880821,29
2025-10-31,0.1.1,2025-10-11T09:57:18.55+00:00,2,5,1,0,2,4.4519871019205155,30
2025-11-01,0.1.1,2025-10-11T09:57:18.55+00:00,2,5,1,0,2,4.452216515745371,31
2025-11-02,0.1.1,2025-10-11T09:57:18.55+00:00,2,5,1,0,2,4.452313720191853,32
2025-11-03,0.1.1,2025-10-11T09:57:18.55+00:00,2,5,1,0,2,4.452373395282248,32
2025-11-04,0.1.1,2025-10-11T09:57:18.55+00:00,2,5,1,0,2,4.45255085163407,32
2025-11-05,0.1.1,2025-10-11T09:57:18.55+00:00,2,5,1,0,2,4.452682228925826,32
2025-11-06,0.1.1,2025-10-11T09:57:18.55+00:00,3,5,1,0,2,4.452693358518569,33
2025-11-07,0.1.1,2025-10-11T09:57:18.55+00:00,3,5,1,0,2,4.4527261203188,35
2025-11-08,0.1.1,2025-10-11T09:57:18.55+00:00,3,5,1,0,2,4.4526568387562095,35
2025-11-09,0.1.1,2025-10-11T09:57:18.55+00:00,3,5,1,0,2,4.452615050778012,35
2025-11-10,0.1.1,2025-10-11T09:57:18.55+00:00,3,5,1,0,2,4.452681218000539,37
2025-11-11,0.1.1,2025-10-11T09:57:18.55+00:00,4,5,1,0,1,4.502442028603998,37
2025-11-12,0.1.1,2025-10-11T09:57:18.55+00:00,5,5,1,0,4,4.502495660054203,38
2025-11-13,0.1.1,2025-10-11T09:57:18.55+00:00,5,5,1,0,4,4.502460598312295,39
2025-11-14,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,6,4.502484641813522,40
2025-11-15,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502566440806836,41
2025-11-16,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502458530063603,43
2025-11-17,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502432277727447,44
2025-11-18,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502486499027686,44
2025-11-19,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502377246788123,45
2025-11-20,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502188904669175,48
2025-11-21,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502095969420921,49
2025-11-22,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.501957839403529,50
2025-11-23,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.501879848149706,50
2025-11-24,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.501960870312095,51
2025-11-25,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.501936891791013,52
2025-11-26,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.5020783235687905,53
2025-11-27,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.5020352327826,54
2025-11-28,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502289055973266,56
2025-11-29,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502360442948218,57
2025-11-30,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502282744636156,57
2025-12-01,0.1.1,2025-10-11T09:57:18.55+00:00,6,5,1,0,4,4.502300343534154,58
2025-12-02,0.1.1,2025-10-11T09:57:18.55+00:00,8,5,1,0,5,4.502281221181381,59
2025-12-03,0.1.1,2025-10-11T09:57:18.55+00:00,8,5,1,0,5,4.502312049702095,59
2025-12-04,0.1.1,2025-10-11T09:57:18.55+00:00,9,5,1,0,1,4.502214722632356,61
2025-12-05,0.1.1,2025-10-11T09:57:18.55+00:00,9,5,1,0,1,4.502443864413227,62
2025-12-06,0.1.1,2025-10-11T09:57:18.55+00:00,9,5,1,0,1,4.502722399949153,63
2025-12-07,0.1.1,2025-10-11T09:57:18.55+00:00,9,5,1,0,1,4.502778510592467,63
2025-12-08,0.1.1,2025-10-11T09:57:18.55+00:00,9,5,1,0,1,4.502743283024186,65
2025-12-09,0.1.1,2025-10-11T09:57:18.55+00:00,9,5,1,0,1,4.502871039286601,66
2025-12-10,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.502558079398337,68
2025-12-11,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.501710111240245,69
2025-12-12,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.5014668595929965,69
2025-12-13,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.501109529897008,69
2025-12-14,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.501059689832763,70
2025-12-15,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.501074180203144,71
2025-12-16,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.500985752517991,71
2025-12-17,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.501053806435534,72
2025-12-18,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.500889377772536,72
2025-12-19,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.50091378763924,72
2025-12-20,0.1.1,2025-10-11T09:57:18.55+00:00,10,5,1,0,2,4.500984973222074,73
