date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-05-17,0.1.0,2026-04-23T14:02:30.107+00:00,6,5,1,0,4,4.454176618381464,49
2026-05-18,0.1.0,2026-04-23T14:02:30.107+00:00,6,5,1,0,4,4.454142351270395,50
2026-05-19,0.1.0,2026-04-23T14:02:30.107+00:00,7,5,1,0,4,4.454006707290614,52
2026-05-20,0.1.0,2026-04-23T14:02:30.107+00:00,7,5,1,0,4,4.453965105829124,54
2026-05-21,0.1.0,2026-04-23T14:02:30.107+00:00,7,5,1,0,4,4.454018432266376,56
2026-05-22,0.1.0,2026-04-23T14:02:30.107+00:00,7,5,1,0,4,4.454076642109825,58
2026-05-23,0.1.0,2026-04-23T14:02:30.107+00:00,7,5,1,0,1,4.45408876625546,60
2026-05-24,0.1.0,2026-04-23T14:02:30.107+00:00,7,5,1,0,1,4.45417718074316,62
2026-05-25,0.1.0,2026-04-23T14:02:30.107+00:00,8,5,1,0,4,4.454221128519668,64
2026-05-26,0.1.0,2026-04-23T14:02:30.107+00:00,8,5,1,0,4,4.454239802224969,66
2026-05-27,0.1.0,2026-04-23T14:02:30.107+00:00,8,5,1,0,4,4.454260740649226,69
2026-05-28,0.1.0,2026-04-23T14:02:30.107+00:00,8,5,1,0,4,4.454249637244914,71
2026-05-29,0.1.0,2026-04-23T14:02:30.107+00:00,9,5,1,0,4,4.454212748099141,73
2026-05-30,0.1.0,2026-04-23T14:02:30.107+00:00,9,5,1,0,4,4.454230282841368,76
2026-05-31,0.1.0,2026-04-23T14:02:30.107+00:00,9,5,1,0,4,4.454223093810898,78
2026-06-01,0.1.0,2026-04-23T14:02:30.107+00:00,9,5,1,0,4,4.45424846673036,80
2026-06-02,0.1.0,2026-04-23T14:02:30.107+00:00,10,5,1,0,1,4.454159660501241,80
2026-06-03,0.1.0,2026-04-23T14:02:30.107+00:00,10,5,1,0,1,4.454088321280197,80
2026-06-04,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,7,4.454084614485478,80
2026-06-05,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,7,4.4539657748618025,80
2026-06-06,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,7,4.453773352999017,80
2026-06-07,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.453772993696317,80
2026-06-08,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.45374584630882,80
2026-06-09,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.453588622519159,80
2026-06-10,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.453388165971028,80
2026-06-11,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.453020298961734,80
2026-06-12,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.453117428772963,81
2026-06-13,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,25,4.4529220281627975,82
2026-06-14,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,25,4.452845568316929,83
2026-06-15,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,39,4.4528858994621485,86
2026-06-16,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.452758895217098,87
2026-06-17,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.452826953577093,88
2026-06-18,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.45282799404955,89
2026-06-19,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.4526559315498595,91
2026-06-20,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.452444613040791,93
2026-06-21,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.452423621517478,94
2026-06-22,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.4522631504914045,95
2026-06-23,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,1,4.452128667771303,96
2026-06-24,0.1.0,2026-04-23T14:02:30.107+00:00,11,5,1,0,4,4.452149995415788,97
