date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,1,0,7,4.403204729309272,18
2024-11-26,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,1,0,7,4.403204729309272,18
2024-11-27,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,1,0,7,4.403204729309272,18
2024-11-28,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,1,0,7,4.403204729309272,18
2024-11-29,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,1,0,7,4.403204729309272,18
2024-11-30,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,1,0,7,4.403204729309272,18
2024-12-01,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,1,0,7,4.403204729309272,18
2024-12-02,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,18
2024-12-03,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,18
2024-12-04,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,18
2024-12-05,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,18
2024-12-06,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,18
2024-12-07,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,18
2024-12-08,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,18
2024-12-09,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,24
2024-12-10,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,24
2024-12-11,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,24
2024-12-12,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,24
2024-12-13,0.0.5,2022-12-14T07:53:22.437+00:00,50,5,2,0,7,4.403204729309272,24
2024-12-14,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,2,0,7,4.403204729309272,24
2024-12-15,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,2,0,7,4.403204729309272,24
2024-12-16,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,2,0,7,4.403204729309272,24
2024-12-17,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,2,0,7,4.403204729309272,24
2024-12-17,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,2,0,7,4.403204729309272,24
2024-12-18,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,1,0,7,4.403204729309272,24
2024-12-19,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,1,0,7,4.403204729309272,24
2024-12-20,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,1,0,7,4.403204729309272,24
2024-12-21,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,1,0,7,4.403204729309272,25
2024-12-22,0.0.5,2022-12-14T07:53:22.437+00:00,51,5,1,0,7,4.403204729309272,25
